train_size,strategy,budget,n_eval,correct,accuracy,has_final_marker_count,has_final_marker_rate,answer_format_ok_count,answer_format_ok_rate,missing_final_marker_count,malformed_final_marker_count,train_gpu_hours,train_cost_usd,model_tokens_per_sample,judge_model,judge_input_tokens,judge_output_tokens,inference_cost_per_query_usd,total_cost_usd_at_1000,total_cost_usd_at_10000,total_cost_usd_at_100000,total_cost_usd_at_1000000,token_estimation_method
0,greedy,1,50,34,0.68,45,0.9,45,0.9,5,0,0.0,0.0,368,,0,0,6.624e-05,0.06624,0.6624,6.624,66.24,hf_tokenizer
0,sc,4,50,38,0.76,42,0.84,42,0.84,8,0,0.0,0.0,349,,0,0,0.00025128,0.25128,2.5128,25.128,251.28,hf_tokenizer
0,sc,8,50,38,0.76,39,0.78,39,0.78,11,0,0.0,0.0,363,,0,0,0.00052272,0.52272,5.2272,52.272,522.72,hf_tokenizer
0,bon,4,50,33,0.66,26,0.52,26,0.52,24,0,0.0,0.0,346,gpt-4o-mini,1736,32,0.00052872,0.52872,5.2872,52.872,528.72,hf_tokenizer
100,greedy,1,50,19,0.38,50,1.0,49,0.98,0,1,0.03,0.112,206,,0,0,3.708e-05,0.14908,0.4828,3.82,37.192,hf_tokenizer
100,sc,4,50,23,0.46,50,1.0,49,0.98,0,1,0.03,0.112,194,,0,0,0.00013968,0.25168,1.5088,14.08,139.792,hf_tokenizer
100,sc,8,50,26,0.52,50,1.0,50,1.0,0,0,0.03,0.112,193,,0,0,0.00027792,0.38992,2.8912,27.904,278.032,hf_tokenizer
100,bon,4,50,26,0.52,50,1.0,50,1.0,0,0,0.03,0.112,184,gpt-4o-mini,1088,32,0.00031488,0.42688,3.2608,31.6,314.992,hf_tokenizer
500,greedy,1,50,27,0.54,50,1.0,50,1.0,0,0,0.125,0.55,212,,0,0,3.816e-05,0.58816,0.9316,4.366,38.71,hf_tokenizer
500,sc,4,50,32,0.64,50,1.0,50,1.0,0,0,0.125,0.55,215,,0,0,0.0001548,0.7048,2.098,16.03,155.35,hf_tokenizer
500,sc,8,50,35,0.7,50,1.0,50,1.0,0,0,0.125,0.55,213,,0,0,0.00030672,0.85672,3.6172,31.222,307.27,hf_tokenizer
500,bon,4,50,29,0.58,50,1.0,50,1.0,0,0,0.125,0.55,217,gpt-4o-mini,1221,32,0.00035859,0.90859,4.1359,36.409,359.14,hf_tokenizer
